Tottenham Hotspur,Manchester United,Manchester City,Liverpool,Arsenal,West Ham,Chelsea,Aston Villa,Newcastle United,Brentford,Brighton,Sheffield United,Luton Town,Wolves,Crystal Palace,Burnley,Nottingham Forest,Bournemouth,Everton,Fulham
-1.623866377925555719e-03,7.757184402095688644e-03,3.983966009158129359e-03,1.812019930186904932e-03,8.063375953958172235e-03,7.405679892472635806e-03,1.096562302745271097e-02,4.408396056201506312e-03,6.768470965127143524e-03,7.938486421114223160e-03,3.290999863177450357e-02,5.538181152029860582e-03,5.854226181338121303e-03,1.232559364267515195e-02,2.091867967246073025e-03,3.907262409399477748e-03,3.916013997283990071e-03,3.378047617843707093e-03,5.202337429248697805e-03,4.237957880733916882e-03
9.842701479864010214e-03,8.482896853884860575e-03,1.078425207404269323e-02,1.252419606142494285e-02,6.418744734049764214e-03,6.656992422353629098e-03,1.362662343616211080e-02,6.368184405797941081e-03,5.761604736552159572e-03,9.229135490914893228e-03,5.538181152029860582e-03,2.875616349462275720e-02,8.871565063714208915e-03,5.773455898639961309e-03,1.086125251170354591e-02,1.159923163588262238e-02,8.988488756094729568e-03,9.564227807489762354e-03,8.570635503529322463e-03,8.969067318183037915e-03
9.308457032153999097e-03,8.622667999920032716e-03,1.046260635564372904e-02,1.219361823455742538e-02,6.191452860846138363e-03,6.639188109243322582e-03,1.397526460580000157e-02,7.265959819988034724e-03,5.310969911884902243e-03,9.142840373725501235e-03,5.854226181338121303e-03,8.871565063714208915e-03,2.857354846415236654e-02,6.209298963017194015e-03,1.058074522898496891e-02,1.088437259603813531e-02,8.895743230399587656e-03,9.354294273982934407e-03,8.881753241882735239e-03,8.882705045373862074e-03
1.740590131978335137e-03,9.378607818717535349e-03,5.778134262198770382e-03,6.930854729195786400e-03,4.993089291473080081e-03,5.667680786379284200e-03,1.038049675951803127e-02,6.399703408614862074e-03,2.665684300564683147e-03,7.231863832514369775e-03,1.232559364267515195e-02,5.773455898639961309e-03,6.209298963017194015e-03,3.641450895228090512e-02,-3.236040241015167816e-03,3.544353357336464325e-03,4.070109228331202610e-03,3.932034895138777388e-03,9.316822613274653928e-03,4.425436192162625695e-03
1.135907733809995122e-02,3.130855657432634470e-03,5.169113032274346743e-03,3.846008496707244498e-03,5.828037008235063127e-03,1.541664415133096357e-02,2.002065675606487169e-02,9.463080874707869086e-03,7.362772314442584884e-03,1.071248546513570155e-02,2.091867967246073025e-03,1.086125251170354591e-02,1.058074522898496891e-02,-3.236040241015167816e-03,5.502895837642040461e-02,1.190700871781135740e-02,1.200451369708681500e-02,1.824244862510962864e-02,9.813697434316948423e-03,1.176802073025617380e-02
1.730896595919764053e-02,1.199368007826994049e-02,1.738164748522990841e-02,1.992401902299586330e-02,1.041329629587054405e-02,5.302027744647010675e-03,1.264036775898856949e-02,8.007905489275004684e-04,1.063115991030095728e-02,1.144573804215117362e-02,3.907262409399477748e-03,1.159923163588262238e-02,1.088437259603813531e-02,3.544353357336464325e-03,1.190700871781135740e-02,4.034824120394636671e-02,1.124619837679130714e-02,8.226873837742015513e-03,6.752418664112634292e-03,1.118609783777585291e-02
1.056513496428848967e-02,7.616096641993871409e-03,1.131373335737368389e-02,1.256988942646062452e-02,6.695139382688531163e-03,6.113523635635026432e-03,1.348551580390451067e-02,8.180172583353526386e-03,5.093615893935185546e-03,9.060160938765231611e-03,3.916013997283990071e-03,8.988488756094729568e-03,8.895743230399587656e-03,4.070109228331202610e-03,1.200451369708681500e-02,1.124619837679130714e-02,2.970865737154640418e-02,1.038040361623919321e-02,7.991202869711033427e-03,9.776850398761459740e-03
6.335544458345439105e-03,-2.306642383559205471e-03,7.096099796064912583e-03,1.114476323933971842e-02,-4.145390832600460030e-04,1.312512921830199207e-02,1.689376987421848872e-02,7.204321225605770686e-03,2.004064840878456988e-03,9.148242730812487788e-03,3.378047617843707093e-03,9.564227807489762354e-03,9.354294273982934407e-03,3.932034895138777388e-03,1.824244862510962864e-02,8.226873837742015513e-03,1.038040361623919321e-02,4.909339005331747607e-02,1.422974716520512481e-02,1.020996323349469999e-02
8.551002713113507736e-03,8.117825231056132948e-03,8.265433800151227375e-03,1.554315125361506282e-02,-2.548899615798774689e-03,7.208433339607220151e-03,1.793783447187256505e-02,1.295350962639014308e-02,-2.025630795582998404e-03,7.467509803471025602e-03,5.202337429248697805e-03,8.570635503529322463e-03,8.881753241882735239e-03,9.316822613274653928e-03,9.813697434316948423e-03,6.752418664112634292e-03,7.991202869711033427e-03,1.422974716520512481e-02,3.702345322197517913e-02,8.139126429155920869e-03
1.035639632512105369e-02,7.783291696594334640e-03,1.117235815887870735e-02,1.250738945367732211e-02,6.611475273971527226e-03,6.200838359697452562e-03,1.356686480815407977e-02,8.028318617230096460e-03,5.129719163328431107e-03,9.073894284676245134e-03,4.237957880733916882e-03,8.969067318183037915e-03,8.882705045373862074e-03,4.425436192162625695e-03,1.176802073025617380e-02,1.118609783777585291e-02,9.776850398761459740e-03,1.020996323349469999e-02,8.139126429155920869e-03,2.938462926290306629e-02
