month,uk_gilt_10y,fr_oat_10y,uk_cpi_yoy,fr_cpi_yoy,usd_per_gbp,usd_per_eur,eur_gbp
2015-01-01,1.589,0.6749,0.5,-0.3829100999999999,1.5142200000000001,1.1614900000000001,0.767054985405027
2015-02-01,1.7365,0.5948,0.4,-0.2705681999999999,1.5329263157894737,1.1350263157894738,0.74043109841514
2015-03-01,1.7941,0.5039,0.2999999999999999,-0.0698323999999999,1.4958045454545454,1.0819454545454545,0.7233200740252281
2015-04-01,1.755,0.4347,0.2999999999999999,0.07984032,1.4967545454545457,1.0822045454545455,0.7230340797968938
2015-05-01,2.0243,0.886,0.4,0.2993413999999999,1.5455999999999999,1.116735,0.7225252329192547
2015-06-01,2.1696,1.1958,0.2999999999999999,0.2595328,1.5575863636363636,1.122559090909091,0.7207042364497519
2015-07-01,2.1353,1.117,0.5,0.1702382999999999,1.5560181818181817,1.099740909090909,0.7067661046260267
2015-08-01,1.9799,0.9981,0.4,0.04985045,1.5577571428571428,1.1136142857142857,0.7148831195033152
2015-09-01,1.8814,1.0051,0.2,0.03002402,1.5338380952380952,1.1228523809523812,0.7320540443208138
2015-10-01,1.846,0.8618,0.2,0.06003001,1.5342619047619048,1.1227952380952382,0.7318145843355732
2015-11-01,1.9779,0.885,0.4,0.0400882,1.519436842105263,1.0726578947368421,0.7059575396701687
2015-12-01,1.9234,0.9328,0.5,0.1802523999999999,1.4980772727272729,1.0888681818181818,0.7268438028139098
2016-01-01,1.7833,0.8453,0.5999999999999999,0.2225369,1.4391578947368422,1.0855052631578948,0.7542641895845523
2016-02-01,1.5032,0.5924,0.5999999999999999,-0.1909163999999999,1.429005,1.10923,0.7762254155863695
2016-03-01,1.5434,0.5089,0.8,-0.1497454,1.4249304347826088,1.1133521739130434,0.7813379142841449
2016-04-01,1.5688,0.51,0.6999999999999998,-0.1894694999999999,1.4318619047619048,1.1345666666666667,0.7923715708152222
2016-05-01,1.5366,0.5113,0.6999999999999998,-0.01989654,1.4524428571428571,1.1312047619047618,0.7788290990875798
2016-06-01,1.3105,0.3901,0.8,0.1891676999999999,1.4197363636363638,1.1231772727272729,0.7911167886483406
2016-07-01,0.9569,0.173,0.9,0.2199339999999999,1.31341,1.105495,0.8416983272550079
2016-08-01,0.7421,0.1514,1.0,0.2291978,1.3101478260869566,1.1206521739130435,0.855363151851434
2016-09-01,0.8243,0.1833,1.3,0.3901950999999999,1.3140142857142858,1.1217809523809525,0.8537052942093114
2016-10-01,1.078,0.327,1.3,0.359964,1.23299,1.10144,0.8933081371300658
2016-11-01,1.3818,0.6638,1.5,0.5309557,1.24319,1.07918,0.8680732631375735
2016-12-01,1.4336,0.7542,1.8,0.6097561,1.248252380952381,1.0544619047619048,0.8447505655526012
2017-01-01,1.4203,0.8625,1.9,1.34235,1.2366736842105264,1.0634947368421053,0.8599639099792312
2017-02-01,1.3058,1.0291,2.3,1.208094,1.2494631578947368,1.0650210526315789,0.8523829181374737
2017-03-01,1.194,1.0199,2.3,1.14977,1.2347304347826087,1.069104347826087,0.8658605293181403
2017-04-01,1.0789,0.8814,2.6,1.168948,1.263925,1.07138,0.8476610558379651
2017-05-01,1.1175,0.799,2.7,0.8059701,1.292890909090909,1.1049863636363637,0.8546632634406335
2017-06-01,1.0846,0.6646,2.6,0.6856801999999999,1.281031818181818,1.1233,0.8768712720924539
2017-07-01,1.2713,0.8371,2.6,0.7182045,1.2996349999999999,1.153015,0.8871837092722188
2017-08-01,1.1241,0.7108,2.7,0.9047524,1.2951782608695652,1.1812913043478261,0.9120685082798742
2017-09-01,1.2436,0.7,2.8,0.9866454,1.334,1.191335,0.8930547226386807
2017-10-01,1.3816,0.8116,2.8,1.056093,1.3201761904761906,1.175547619047619,0.8904475232382402
2017-11-01,1.3299,0.7195,2.8,1.175884,1.321745,1.174295,0.8884429296119903
2017-12-01,1.2781,0.6763,2.7,1.19225,1.34036,1.183615,0.8830575367811634
2018-01-01,1.3931,0.8544,2.7,1.334528,1.3823857142857143,1.219652380952381,0.882280805095401
2018-02-01,1.6034,0.9816,2.5,1.183726,1.3960842105263158,1.2339684210526316,0.8838782157613777
2018-03-01,1.508,0.8342,2.3,1.561728,1.397559090909091,1.2333954545454546,0.8825354595512306
2018-04-01,1.5108,0.7763,2.2,1.639344,1.4079190476190475,1.2269523809523808,0.8714651478203224
2018-05-01,1.5016,0.7855,2.3,2.023492,1.3469818181818183,1.1822636363636365,0.8777131364397172
2018-06-01,1.4229,0.7526,2.3,2.023293,1.3294190476190475,1.1679142857142857,0.8785147826834493
2018-07-01,1.3739,0.6658,2.3,2.287808,1.3161904761904761,1.1684619047619047,0.887760492040521
2018-08-01,1.3991,0.7048,2.4,2.25638,1.2878391304347827,1.1546608695652174,0.8965878130876459
2018-09-01,1.5023,0.7677,2.2,2.20073,1.3066315789473684,1.1666947368421052,0.8929026021106904
2018-10-01,1.5462,0.8227,2.2,2.20842,1.3011863636363636,1.148759090909091,0.8828551566577355
2018-11-01,1.4541,0.7622,2.2,1.891067,1.289995,1.13639,0.8809258950616088
2018-12-01,1.3125,0.6979,2.0,1.590574,1.2663722222222222,1.1380388888888888,0.8986606535729796
2019-01-01,1.3221,0.6463,1.8,1.238329,1.29007,1.1417899999999999,0.8850605005929909
2019-02-01,1.239,0.5506,1.8,1.317342,1.3016333333333334,1.1349444444444443,0.8719386753395305
2019-03-01,1.19,0.437,1.8,1.109489,1.3166571428571427,1.1296142857142857,0.8579411062647831
2019-04-01,1.1906,0.3718,2.0,1.263117,1.3029363636363636,1.1234,0.8622063451086008
2019-05-01,1.13,0.3036,1.9,0.9384675,1.28545,1.1186909090909092,0.8702718185000655
2019-06-01,0.919,0.079,1.9,1.170552,1.2675100000000001,1.129515,0.8911290640705004
2019-07-01,0.8304,-0.0698,2.0,1.065066,1.2460863636363635,1.1211454545454544,0.8997333469517289
2019-08-01,0.5776,-0.3429,1.7,1.040663,1.2159818181818183,1.1128681818181818,0.9152013337519999
2019-09-01,0.5981,-0.2729,1.7,0.9076864,1.236865,1.10112,0.8902507549328342
2019-10-01,0.6373,-0.1556,1.5,0.7620333999999999,1.2656636363636364,1.1058181818181818,0.8737062123356054
2019-11-01,0.765,-0.0199,1.5,1.034316,1.288421052631579,1.1050578947368421,0.8576838235294119
2019-12-01,0.8308,0.0362,1.4,1.45936,1.3109047619047618,1.1113666666666666,0.8477859711576883
2020-01-01,0.7235,-0.0068,1.8,1.485293,1.307642857142857,1.1097666666666666,0.8486771908741647
2020-02-01,0.633,-0.1802,1.7,1.426354,1.2952947368421053,1.0910736842105262,0.8423362291045321
2020-03-01,0.4609,-0.0536,1.5,0.6737895999999999,1.2368863636363636,1.104590909090909,0.8930415449350457
2020-04-01,0.3577,0.0591,0.9,0.326233,1.2419681818181818,1.0871090909090908,0.8753115472874798
2020-05-01,0.2743,-0.0306,0.6999999999999998,0.3642289,1.23019,1.09073,0.8866353977840822
2020-06-01,0.278,-0.0446,0.8,0.2008031999999999,1.2523272727272727,1.1259,0.8990461395510903
2020-07-01,0.2094,-0.1453,1.1,0.7760108,1.2701227272727271,1.1488272727272728,0.9045009966824968
2020-08-01,0.2717,-0.1713,0.5,0.2193400999999999,1.3142666666666667,1.1831142857142856,0.9002086986767923
2020-09-01,0.273,-0.207,0.6999999999999998,0.04784689,1.2946809523809524,1.1785095238095238,0.9102702265312653
2020-10-01,0.3058,-0.2958,0.9,0.04786521,1.2979761904761904,1.1767809523809523,0.9066275337063193
2020-11-01,0.3836,-0.3232,0.5999999999999999,0.2009185,1.3198333333333334,1.1826277777777778,0.8960432714568337
2020-12-01,0.3224,-0.3356,0.8,-0.01905125,1.3434285714285714,1.2168,0.9057422373458104
2021-01-01,0.3672,-0.3051,0.9,0.5548115,1.364138888888889,1.2177666666666667,0.892699912439675
2021-02-01,0.6222,-0.1522,0.6999999999999998,0.5644312999999999,1.3867052631578947,1.2093947368421052,0.8721353909683688
2021-03-01,0.8456,-0.0687,1.0,1.109093,1.3863260869565217,1.1901608695652173,0.8584999451161185
2021-04-01,0.8515,-0.0069,1.6,1.243305,1.3844954545454546,1.1965409090909092,0.8642432917800709
2021-05-01,0.9058,0.2107,2.1,1.422978,1.40835,1.21463,0.8624489651010048
2021-06-01,0.8549,0.153,2.4,1.479149,1.402472727272727,1.2048272727272726,0.8590735843186061
2021-07-01,0.6979,-0.0059,2.1,1.150299,1.3807809523809524,1.1821380952380953,0.8561373135975501
2021-08-01,0.644,-0.1155,3.0,1.865068,1.3796818181818182,1.1766954545454544,0.8528745099331202
2021-09-01,0.8023,0.0363,2.9,2.161645,1.3732047619047618,1.1764904761904762,0.8567480311957084
2021-10-01,1.083,0.1973,3.8,2.621759,1.37009,1.159985,0.8466487603004182
2021-11-01,0.9394,0.103,4.6,2.7785740000000003,1.34626,1.14159,0.8479714171111079
2021-12-01,0.8375,0.0493,4.8,2.75343,1.330295238095238,1.1300809523809523,0.8494963524029754
2022-01-01,1.2051,0.3141,4.9,2.8538810000000003,1.355525,1.131675,0.8348610317035834
2022-02-01,1.4891,0.6785,5.5,3.633942,1.354021052631579,1.1349052631578949,0.8381740157970023
2022-03-01,1.5457,0.7832,6.2,4.4822690000000005,1.3168130434782608,1.1018521739130436,0.8367567282008276
2022-04-01,1.8362,1.2849,7.8,4.82713,1.2933428571428571,1.080295238095238,0.8352736725060934
2022-05-01,1.9069,1.5182,7.9,5.19774,1.2438380952380952,1.0567190476190476,0.8495631800188357
2022-06-01,2.3824,2.056,8.2,5.839759,1.2320428571428572,1.0567190476190476,0.8576966633040748
2022-07-01,2.1454,1.7067,8.8,6.080826999999999,1.198665,1.016825,0.8482978980782787
2022-08-01,2.3278,1.6857,8.6,5.913125,1.1983,1.0128782608695652,0.8452626728445007
2022-09-01,3.5007,2.4096,8.8,5.551915,1.1319714285714286,0.9898809523809524,0.8744752097057809
2022-10-01,4.1096,2.773,9.6,6.200466,1.133225,0.985295,0.8694610514240333
2022-11-01,3.4171,2.5831,9.3,6.15013,1.1727349999999999,1.01919,0.869071017749108
2022-12-01,3.5015,2.6167,9.2,5.850718,1.2180190476190478,1.0590666666666668,0.8694992650048479
2023-01-01,3.5115,2.69,8.8,5.993341,1.223735,1.07769,0.880656351252518
2023-02-01,3.5553,2.8727,9.2,6.278686,1.2084000000000001,1.0702263157894736,0.885655673443788
2023-03-01,3.5638,2.9167,8.9,5.701873,1.213778260869565,1.0711347826086957,0.8824797882286358
2023-04-01,3.6503,2.9038,7.8,5.884473000000001,1.244575,1.0962,0.8807825964686741
2023-05-01,3.9621,2.9385,7.9,5.119943,1.2483727272727272,1.0867090909090908,0.8705005061134131
2023-06-01,4.3659,2.9319,7.3,4.53132,1.2627190476190475,1.0840285714285716,0.8584875420011994
2023-07-01,4.4372,3.0379,6.4,4.288119,1.289345,1.10669,0.8583350460892933
2023-08-01,4.5298,3.1101,6.3,4.859764,1.2706217391304349,1.091,0.8586347662732725
2023-09-01,4.4199,3.242,6.3,4.896221,1.238145,1.067175,0.8619143961329246
2023-10-01,4.5695,3.4496,4.7,3.977173000000001,1.2175238095238097,1.056457142857143,0.8677096370463079
2023-11-01,4.2721,3.1914,4.2,3.474532,1.24374,1.08193,0.8699004615112483
2023-12-01,3.8622,2.6549,4.2,3.705326,1.2657,1.09094,0.8619262068420637
2024-01-01,3.9319,2.7365,4.2,3.132635,1.2701238095238094,1.0898904761904762,0.8580978232343304
2024-02-01,4.123,2.8547,3.8,2.962515,1.262965,1.0793,0.8545763342610445
2024-03-01,4.033,2.8236,3.8,2.294717,1.2712761904761904,1.0870190476190476,0.8550612807527493
2024-04-01,4.2172,2.9749,3.0,2.187234,1.2517136363636363,1.0723909090909092,0.8567382170624273
2024-05-01,4.2229,3.031,2.8,2.273501,1.2635545454545456,1.0810136363636362,0.8555338115417543
2024-06-01,4.1644,3.1494,2.8,2.167446,1.2715631578947368,1.0763263157894736,0.8464591861653911
2024-07-01,4.1386,3.1547,3.1,2.302268,1.2869727272727274,1.084659090909091,0.8427988161082738
2024-08-01,3.9444,2.9681,3.1,1.825217,1.2945227272727273,1.1020181818181818,0.8512930353412103
2024-09-01,3.9053,2.9126,2.6,1.099273,1.321885,1.110425,0.8400314702111
2024-10-01,4.1993,2.9983,3.2,1.232796,1.3043272727272728,1.08945,0.8352581616437592
2024-11-01,4.4164,3.086,3.5,1.260255,1.2738421052631579,1.0621315789473684,0.8338015948436145
2024-12-01,4.4345,3.0164,3.5,1.317679,1.2647190476190477,1.0472333333333335,0.8280363415929004
2025-01-01,4.6627,3.3141,3.9,1.649886,1.2354285714285713,1.0355904761904762,0.8382439099599137
2025-02-01,4.5063,3.1526,3.7,0.7969129999999999,1.254178947368421,1.0413000000000001,0.8302642953662284
2025-03-01,4.6448,3.4784,3.4,0.7616975,1.2912666666666666,1.0813142857142857,0.8374058694674111
2025-04-01,4.5762,3.2953,,,1.3144272727272728,1.1231772727272729,0.854499367163023
2025-05-01,4.6004,3.2606,,,1.3358095238095238,1.1273666666666666,0.8439576500784258
2025-06-01,4.5248,3.2362,,,1.3577299999999999,1.153365,0.8494803826975909
2025-07-01,4.5924,3.3472,,,1.3488772727272726,1.1670818181818183,0.865224614409964
2025-08-01,4.6369,3.4056,,,1.3455761904761905,1.1647476190476191,0.8656125363183059
2025-09-01,4.6885,3.5172,,,1.3506380952380952,1.1738714285714285,0.8691235888504198
2025-10-01,4.5721,3.4377,,,1.3356954545454547,1.1640727272727274,0.871510585224585
2025-11-01,4.4985,3.4386,,,1.3138833333333333,1.1558111111111111,0.8796908232170115
2025-12-01,4.4826,3.5542,,,1.3387181818181817,1.1710363636363637,0.8747444977896088
2026-01-01,4.451,3.5028,,,1.3535650000000001,1.1744299999999999,0.867656891246449
2026-02-01,4.4324,3.3535,,,1.357921052631579,1.1824105263157894,0.8707505668494795
2026-03-01,4.7007,3.6011,,,1.3338681818181817,1.155668181818182,0.8664035903779509
2026-04-01,4.8207,3.6749,,,1.3454045454545456,1.1697318181818182,0.8694275800789893
2026-05-01,4.9416,3.7416,,,1.3498350000000001,1.168105,0.865368730252216
2026-06-01,,,,,1.3337761904761904,1.1516285714285714,0.8634346449215082
2026-07-01,,,,,1.3368142857142857,1.1422,0.8544193551834319
