club,company_number,made_up_to,available,reason
Chelsea,01965149,2006-06-30,0,pdf_only_or_missing
Chelsea,01965149,2005-06-30,0,pdf_only_or_missing
Chelsea,01965149,2004-06-30,0,pdf_only_or_missing
Chelsea,01965149,2003-06-30,0,pdf_only_or_missing
Chelsea,01965149,2002-06-30,0,pdf_only_or_missing
Chelsea,01965149,2001-06-30,0,pdf_only_or_missing
Chelsea,01965149,2000-06-30,0,pdf_only_or_missing
Chelsea,01965149,1999-06-30,0,pdf_only_or_missing
Chelsea,01965149,1998-06-30,0,pdf_only_or_missing
Chelsea,01965149,1997-06-30,0,pdf_only_or_missing
Chelsea,01965149,1996-06-30,0,pdf_only_or_missing
Chelsea,01965149,1995-06-30,0,pdf_only_or_missing
Chelsea,01965149,1994-06-30,0,pdf_only_or_missing
Chelsea,01965149,1993-06-30,0,pdf_only_or_missing
Chelsea,01965149,1992-06-30,0,pdf_only_or_missing
Chelsea,01965149,1991-06-30,0,pdf_only_or_missing
Chelsea,01965149,1990-06-30,0,pdf_only_or_missing
Chelsea,01965149,1989-06-30,0,pdf_only_or_missing
Chelsea,01965149,1988-06-30,0,pdf_only_or_missing
Chelsea,01965149,1987-06-30,0,pdf_only_or_missing
Chelsea,01965149,1986-06-30,0,pdf_only_or_missing
