target,model,feature,importance
wage_to_revenue,random_forest,eur_gbp_season,0.05211080136790225
wage_to_revenue,gbm,ppg_lag1,0.03682830810645792
wage_to_revenue,gbm,position_lag1,0.06215785883553128
wage_to_revenue,gbm,points_lag1,0.06003243921329031
wage_to_revenue,gbm,gd_pg_lag1,0.11324246370055371
wage_to_revenue,gbm,total_market_value_eur_m_lag1,0.12285967361465845
wage_to_revenue,gbm,net_spend_eur_m_lag1,0.04744920943286422
wage_to_revenue,gbm,minutes_weighted_age_lag1,0.0857936920507408
wage_to_revenue,gbm,squad_mean_age_lag1,0.11983778536296191
wage_to_revenue,gbm,newly_promoted,0.09097988300596355
wage_to_revenue,gbm,ucl_spot_lag1,0.0165799397524498
wage_to_revenue,gbm,mco_flag,0.02237557735723747
wage_to_revenue,gbm,covid_season,0.05702297005765746
wage_to_revenue,gbm,is_premier_league,0.0
wage_to_revenue,gbm,uk_gilt_10y_season,0.11228506829857421
wage_to_revenue,gbm,eur_gbp_season,0.05255513121105879
